raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
181.0,7.0,3.0,0,3.0,3.0,350.969076157,1.0,phase_1,,,,,,,,,,,,,yellow,circle
109.0,6.0,2.0,1,1.0,1.0,333.844900131,1.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,3.0,0.0,1,3.0,3.0,400.984048843,1.0,phase_1,,,,,,,,,,,,,orange,cross
114.0,6.0,2.0,1,1.0,1.0,350.736856461,1.0,phase_1,,,,,,,,,,,,,cyan,square
114.0,6.0,2.0,1,2.0,2.0,384.45687294000004,1.0,phase_1,,,,,,,,,,,,,cyan,square
60.0,1.0,1.0,1,1.0,1.0,350.48985481299997,1.0,phase_1,,,,,,,,,,,,,blue,line
51.0,5.0,1.0,0,2.0,2.0,366.858005524,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,1.0,0.0,1,4.0,4.0,400.61211586,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,1.0,0.0,1,3.0,3.0,334.21206474300004,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,4.0,0.0,0,2.0,2.0,367.834091187,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,1.0,0.0,1,2.0,2.0,301.124811172,1.0,phase_1,,,,,,,,,,,,,blue,line
186.0,7.0,3.0,0,4.0,4.0,383.937835693,1.0,phase_1,,,,,,,,,,,,,yellow,circle
124.0,2.0,2.0,0,2.0,2.0,367.729902267,1.0,phase_1,,,,,,,,,,,,,white,hexagon
94.0,2.0,2.0,0,1.0,1.0,334.511995316,1.0,phase_1,,,,,,,,,,,,,white,hexagon
175.0,3.0,3.0,1,4.0,4.0,417.67501831100003,1.0,phase_1,,,,,,,,,,,,,orange,cross
395.0,8.0,4.0,1,2.0,2.0,334.24496650699996,1.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,6.0,0.0,1,1.0,1.0,334.203004837,1.0,phase_1,,,,,,,,,,,,,cyan,square
35.0,1.0,1.0,1,4.0,4.0,384.34600830100004,1.0,phase_1,,,,,,,,,,,,,blue,line
112.0,2.0,2.0,0,3.0,3.0,384.14287567099996,1.0,phase_1,,,,,,,,,,,,,white,hexagon
35.0,1.0,1.0,1,3.0,3.0,484.018087387,1.0,phase_1,,,,,,,,,,,,,blue,line
116.0,6.0,2.0,1,1.0,1.0,333.992004395,1.0,phase_1,,,,,,,,,,,,,cyan,square
222.0,3.0,3.0,1,3.0,3.0,450.821876526,1.0,phase_1,,,,,,,,,,,,,orange,cross
46.0,5.0,1.0,0,1.0,1.0,350.80718994100005,1.0,phase_1,,,,,,,,,,,,,gray,triangle
125.0,2.0,2.0,0,4.0,4.0,367.658138275,1.0,phase_1,,,,,,,,,,,,,white,hexagon
40.0,5.0,1.0,0,3.0,3.0,333.955049515,1.0,phase_1,,,,,,,,,,,,,gray,triangle
205.0,7.0,3.0,0,2.0,2.0,351.212024689,1.0,phase_1,,,,,,,,,,,,,yellow,circle
66.0,1.0,1.0,1,1.0,1.0,350.87108612099996,1.0,phase_1,,,,,,,,,,,,,blue,line
68.0,1.0,1.0,1,1.0,1.0,333.712100983,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,3.0,0.0,1,4.0,4.0,400.640964508,1.0,phase_1,,,,,,,,,,,,,orange,cross
407.0,4.0,4.0,0,4.0,4.0,435.034990311,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,8.0,0.0,1,2.0,2.0,333.818912506,1.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,1.0,0.0,1,2.0,2.0,350.528001785,2.0,phase_1,,,,,,,,,,,,,blue,line
85.0,2.0,2.0,0,4.0,4.0,367.658853531,2.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,3.0,0.0,1,4.0,4.0,334.04898643499996,2.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,5.0,0.0,0,1.0,1.0,400.882005692,2.0,phase_1,,,,,,,,,,,,,gray,triangle
394.0,8.0,4.0,1,4.0,4.0,383.90994072,2.0,phase_1,,,,,,,,,,,,,green,diamond
191.0,3.0,3.0,1,1.0,1.0,368.141889572,2.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,4.0,0.0,0,1.0,1.0,350.970983505,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
115.0,6.0,2.0,1,1.0,1.0,350.478172302,2.0,phase_1,,,,,,,,,,,,,cyan,square
56.0,1.0,1.0,1,3.0,3.0,434.448957443,2.0,phase_1,,,,,,,,,,,,,blue,line
110.0,2.0,2.0,0,4.0,4.0,334.30099487300004,2.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,6.0,0.0,1,1.0,1.0,384.000062943,2.0,phase_1,,,,,,,,,,,,,cyan,square
198.0,3.0,3.0,1,4.0,4.0,317.39497184799995,2.0,phase_1,,,,,,,,,,,,,orange,cross
116.0,6.0,2.0,1,4.0,4.0,334.25998687699996,2.0,phase_1,,,,,,,,,,,,,cyan,square
35.0,5.0,1.0,0,2.0,2.0,384.082078934,2.0,phase_1,,,,,,,,,,,,,gray,triangle
198.0,3.0,3.0,1,4.0,4.0,334.447145462,2.0,phase_1,,,,,,,,,,,,,orange,cross
209.0,7.0,3.0,0,3.0,3.0,317.06404686,2.0,phase_1,,,,,,,,,,,,,yellow,circle
185.0,3.0,3.0,1,1.0,1.0,400.845050812,2.0,phase_1,,,,,,,,,,,,,orange,cross
375.0,4.0,4.0,0,3.0,3.0,317.577123642,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,1.0,0.0,1,1.0,1.0,317.808151245,2.0,phase_1,,,,,,,,,,,,,blue,line
181.0,3.0,3.0,1,1.0,1.0,400.543212891,2.0,phase_1,,,,,,,,,,,,,orange,cross
95.0,6.0,2.0,1,4.0,4.0,400.508880615,2.0,phase_1,,,,,,,,,,,,,cyan,square
63.0,5.0,1.0,0,4.0,4.0,417.700052261,2.0,phase_1,,,,,,,,,,,,,gray,triangle
190.0,7.0,3.0,0,4.0,4.0,350.945949554,2.0,phase_1,,,,,,,,,,,,,yellow,circle
46.0,1.0,1.0,1,3.0,3.0,367.676973343,2.0,phase_1,,,,,,,,,,,,,blue,line
424.0,8.0,4.0,1,2.0,2.0,383.996009827,2.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,3.0,0.0,1,4.0,4.0,367.776870728,2.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,5.0,0.0,0,3.0,3.0,350.737094879,2.0,phase_1,,,,,,,,,,,,,gray,triangle
80.0,2.0,2.0,0,4.0,4.0,367.762088776,2.0,phase_1,,,,,,,,,,,,,white,hexagon
225.0,7.0,3.0,0,2.0,2.0,367.924928665,2.0,phase_1,,,,,,,,,,,,,yellow,circle
72.0,1.0,1.0,1,3.0,3.0,384.027957916,2.0,phase_1,,,,,,,,,,,,,blue,line
43.0,1.0,1.0,1,4.0,4.0,351.06492042499997,2.0,phase_1,,,,,,,,,,,,,blue,line
379.0,8.0,4.0,1,2.0,2.0,334.247112274,2.0,phase_1,,,,,,,,,,,,,green,diamond
409.0,8.0,4.0,1,3.0,3.0,334.25998687699996,2.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,1.0,0.0,1,2.0,2.0,434.174060822,2.0,phase_1,,,,,,,,,,,,,blue,line
387.0,8.0,4.0,1,2.0,2.0,418.022871017,2.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,5.0,0.0,0,3.0,3.0,401.11088752700005,2.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,1.0,0.0,1,2.0,2.0,317.483901978,2.0,phase_1,,,,,,,,,,,,,blue,line
205.0,3.0,3.0,1,3.0,3.0,384.41491127,2.0,phase_1,,,,,,,,,,,,,orange,cross
415.0,4.0,4.0,0,1.0,1.0,350.811004639,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
203.0,7.0,3.0,0,3.0,3.0,384.191989899,2.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,4.0,0.0,0,4.0,4.0,417.526960373,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
384.0,8.0,4.0,1,1.0,1.0,384.846925735,2.0,phase_1,,,,,,,,,,,,,green,diamond
180.0,3.0,3.0,1,1.0,1.0,384.73200798,2.0,phase_1,,,,,,,,,,,,,orange,cross
407.0,8.0,4.0,1,2.0,2.0,367.854118347,2.0,phase_1,,,,,,,,,,,,,green,diamond
187.0,7.0,3.0,0,2.0,2.0,333.927869797,2.0,phase_1,,,,,,,,,,,,,yellow,circle
82.0,2.0,2.0,0,1.0,1.0,317.39783287,2.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,2.0,0.0,0,3.0,3.0,334.175825119,2.0,phase_1,,,,,,,,,,,,,white,hexagon
196.0,3.0,3.0,1,3.0,3.0,334.397792816,2.0,phase_1,,,,,,,,,,,,,orange,cross
107.0,6.0,2.0,1,1.0,1.0,350.887060165,2.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,3.0,0.0,1,2.0,2.0,301.237106323,2.0,phase_1,,,,,,,,,,,,,orange,cross
178.0,3.0,3.0,1,4.0,4.0,334.609031677,2.0,phase_1,,,,,,,,,,,,,orange,cross
32.0,1.0,1.0,1,3.0,3.0,351.469993591,2.0,phase_1,,,,,,,,,,,,,blue,line
416.0,8.0,4.0,1,3.0,3.0,350.732088089,2.0,phase_1,,,,,,,,,,,,,green,diamond
51.0,5.0,1.0,0,1.0,1.0,350.136995316,2.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,6.0,0.0,1,4.0,4.0,384.32097435000003,2.0,phase_1,,,,,,,,,,,,,cyan,square
186.0,3.0,3.0,1,1.0,1.0,368.06511879,2.0,phase_1,,,,,,,,,,,,,orange,cross
423.0,4.0,4.0,0,1.0,1.0,367.941141129,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
381.0,8.0,4.0,1,1.0,1.0,367.474079132,2.0,phase_1,,,,,,,,,,,,,green,diamond
193.0,7.0,3.0,0,4.0,4.0,384.195804596,2.0,phase_1,,,,,,,,,,,,,yellow,circle
112.0,6.0,2.0,1,3.0,3.0,333.655118942,2.0,phase_1,,,,,,,,,,,,,cyan,square
407.0,8.0,4.0,1,1.0,1.0,367.694854736,2.0,phase_1,,,,,,,,,,,,,green,diamond
66.0,5.0,1.0,0,4.0,4.0,384.15718078599997,2.0,phase_1,,,,,,,,,,,,,gray,triangle
417.0,8.0,4.0,1,4.0,4.0,367.621898651,2.0,phase_1,,,,,,,,,,,,,green,diamond
65.0,5.0,1.0,0,1.0,1.0,367.843866348,2.0,phase_1,,,,,,,,,,,,,gray,triangle
118.0,6.0,2.0,1,2.0,2.0,367.538928986,2.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,3.0,0.0,1,4.0,4.0,384.08613204999995,2.0,phase_1,,,,,,,,,,,,,orange,cross
410.0,8.0,4.0,1,2.0,2.0,317.752122879,2.0,phase_1,,,,,,,,,,,,,green,diamond
384.0,4.0,4.0,0,2.0,2.0,451.076984406,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
97.0,6.0,2.0,1,2.0,2.0,350.791931152,2.0,phase_1,,,,,,,,,,,,,cyan,square
220.0,3.0,3.0,1,2.0,2.0,350.428104401,2.0,phase_1,,,,,,,,,,,,,orange,cross
77.0,6.0,2.0,1,1.0,1.0,467.85306930499996,2.0,phase_1,,,,,,,,,,,,,cyan,square
402.0,4.0,4.0,0,3.0,3.0,383.85319709799995,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
56.0,5.0,1.0,0,3.0,3.0,484.488010406,2.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,8.0,0.0,1,2.0,2.0,317.656993866,2.0,phase_1,,,,,,,,,,,,,green,diamond
25.0,1.0,1.0,1,3.0,3.0,383.91399383500004,2.0,phase_1,,,,,,,,,,,,,blue,line
198.0,7.0,3.0,0,1.0,1.0,334.742069244,2.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,6.0,0.0,1,2.0,2.0,300.72903633100003,2.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,3.0,0.0,1,1.0,1.0,333.73999595600003,2.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,5.0,0.0,0,3.0,3.0,383.590936661,2.0,phase_1,,,,,,,,,,,,,gray,triangle
62.0,1.0,1.0,1,1.0,1.0,368.343830109,2.0,phase_1,,,,,,,,,,,,,blue,line
215.0,3.0,3.0,1,2.0,2.0,334.760904312,2.0,phase_1,,,,,,,,,,,,,orange,cross
