stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
2.0,1,6.0,,,5.0,,stop,400.0,300.0,4.0,,,,,,,,,blue,diamond
2.0,0,6.0,6.0,767.9231166840001,5.0,part_2,go,400.0,300.0,1.0,,,,,,,,,gray,hexagon
4.0,0,5.0,5.0,417.47808456399997,5.0,part_2,go,400.0,300.0,1.0,,,,,,,,,orange,line
1.0,1,6.0,6.0,667.6888465879999,5.0,part_2,go,400.0,300.0,1.0,,,,,,,,,white,cross
0.5,0,6.0,6.0,417.286157608,6.0,part_2,go,400.0,300.0,1.0,,,,,,,,,green,square
2.0,1,5.0,5.0,450.831890106,6.0,part_2,stop,450.0,300.0,3.0,,,,,,,,,blue,diamond
4.0,1,5.0,5.0,751.774072647,6.0,part_2,go,450.0,300.0,1.0,,,,,,,,,magenta,triangle
1.0,1,6.0,,,6.0,,stop,450.0,350.0,4.0,,,,,,,,,white,cross
4.0,1,5.0,5.0,850.790023804,6.0,part_2,go,450.0,350.0,1.0,,,,,,,,,magenta,triangle
0.5,0,5.0,5.0,617.8488731379999,6.0,part_2,go,450.0,350.0,1.0,,,,,,,,,green,square
1.0,0,6.0,6.0,517.3518657679999,6.0,part_2,go,450.0,350.0,1.0,,,,,,,,,cyan,flipped triangle
0.5,1,6.0,,,6.0,,stop,450.0,400.0,4.0,,,,,,,,,yellow,circle
2.0,0,5.0,5.0,684.886932373,6.0,part_2,go,450.0,400.0,1.0,,,,,,,,,gray,hexagon
1.0,1,6.0,6.0,717.6668643950001,6.0,part_2,stop,450.0,450.0,3.0,,,,,,,,,white,cross
0.5,0,6.0,6.0,700.762987137,6.0,part_2,go,450.0,450.0,1.0,,,,,,,,,green,square
4.0,0,5.0,5.0,600.7821559910001,6.0,part_2,go,450.0,450.0,1.0,,,,,,,,,orange,line
2.0,0,6.0,6.0,550.992965698,6.0,part_2,go,450.0,450.0,1.0,,,,,,,,,gray,hexagon
4.0,0,5.0,5.0,417.370080948,6.0,part_2,go,450.0,450.0,1.0,,,,,,,,,orange,line
1.0,0,5.0,5.0,484.017848969,6.0,part_2,go,450.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
0.5,0,5.0,5.0,517.613172531,6.0,part_2,go,450.0,450.0,1.0,,,,,,,,,green,square
0.5,1,5.0,,,6.0,,stop,400.0,450.0,4.0,,,,,,,,,yellow,circle
0.5,0,6.0,6.0,918.406009674,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,green,square
2.0,0,6.0,6.0,584.9499702449999,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,gray,hexagon
4.0,0,5.0,5.0,417.613983154,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,orange,line
1.0,0,6.0,6.0,601.500988007,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,0,6.0,6.0,618.105173111,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,orange,line
0.5,1,6.0,6.0,634.174108505,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,yellow,circle
0.5,1,5.0,5.0,551.017045975,6.0,part_2,stop,450.0,450.0,3.0,,,,,,,,,yellow,circle
2.0,1,5.0,,,6.0,,stop,400.0,450.0,4.0,,,,,,,,,blue,diamond
4.0,1,6.0,,,6.0,,stop,400.0,400.0,4.0,,,,,,,,,magenta,triangle
0.5,1,6.0,6.0,618.030071259,6.0,part_2,stop,400.0,450.0,3.0,,,,,,,,,yellow,circle
1.0,0,5.0,5.0,684.128046036,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
1.0,0,6.0,6.0,684.8299503329999,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,cyan,flipped triangle
0.5,0,5.0,5.0,684.8940849300001,6.0,part_2,go,400.0,450.0,1.0,,,,,,,,,green,square
1.0,1,6.0,6.0,401.417970657,6.0,part_2,stop,400.0,400.0,3.0,,,,,,,,,white,cross
2.0,0,5.0,5.0,567.18993187,6.0,part_2,go,400.0,400.0,1.0,,,,,,,,,gray,hexagon
4.0,1,5.0,,,6.0,,stop,450.0,400.0,4.0,,,,,,,,,magenta,triangle
1.0,1,5.0,,,6.0,,stop,500.0,400.0,4.0,,,,,,,,,white,cross
2.0,0,6.0,6.0,767.681121826,6.0,part_2,go,500.0,400.0,1.0,,,,,,,,,gray,hexagon
0.5,1,6.0,,,6.0,,stop,500.0,350.0,4.0,,,,,,,,,yellow,circle
2.0,0,6.0,6.0,434.329986572,7.0,part_2,go,500.0,350.0,1.0,,,,,,,,,gray,hexagon
0.5,0,5.0,5.0,400.721073151,7.0,part_2,go,500.0,350.0,1.0,,,,,,,,,green,square
1.0,1,5.0,5.0,401.09705925,7.0,part_2,stop,550.0,350.0,3.0,,,,,,,,,white,cross
0.5,1,6.0,6.0,267.165899277,7.0,part_2,stop,550.0,400.0,3.0,,,,,,,,,yellow,circle
0.5,1,5.0,5.0,617.795944214,7.0,part_2,go,550.0,400.0,1.0,,,,,,,,,yellow,circle
4.0,0,5.0,5.0,383.867025375,7.0,part_2,go,550.0,400.0,1.0,,,,,,,,,orange,line
1.0,0,5.0,5.0,517.4648761750001,7.0,part_2,go,550.0,400.0,1.0,,,,,,,,,cyan,flipped triangle
4.0,1,6.0,6.0,301.343917847,7.0,part_2,stop,550.0,350.0,3.0,,,,,,,,,magenta,triangle
2.0,1,5.0,5.0,500.940799713,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,blue,diamond
0.5,0,6.0,6.0,317.722082138,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,green,square
2.0,0,5.0,5.0,367.27023124699997,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,gray,hexagon
